num,Company name,Job,Technology or skill
2,TenTwenty,Android App Developer,asynchronous programming
2,TenTwenty,Android App Developer,RxJava
2,TenTwenty,Android App Developer,Coroutines
2,TenTwenty,Android App Developer,LiveData
2,TenTwenty,Android App Developer,XMPP based chat
3,redfordrecruiters,Android App Developer,2+
3,redfordrecruiters,Android App Developer,Java
3,redfordrecruiters,Android App Developer,XML
3,redfordrecruiters,Android App Developer,SQLite
3,redfordrecruiters,Android App Developer,Firebase
3,redfordrecruiters,Android App Developer,Android SDK
3,redfordrecruiters,Android App Developer,Android Studio
3,redfordrecruiters,Android App Developer,Material Design
3,redfordrecruiters,Android App Developer,Git
3,redfordrecruiters,Android App Developer,file system
3,redfordrecruiters,Android App Developer,architecture
3,redfordrecruiters,Android App Developer,permissions
3,redfordrecruiters,Android App Developer,Networking fundamentals
3,redfordrecruiters,Android App Developer,IP addressing
3,redfordrecruiters,Android App Developer,Routing
3,redfordrecruiters,Android App Developer,Switching
3,redfordrecruiters,Android App Developer,Firewall
3,redfordrecruiters,Android App Developer,DNS
3,redfordrecruiters,Android App Developer,VPN
3,redfordrecruiters,Android App Developer,VOIP
3,redfordrecruiters,Android App Developer,Fitness Apps
3,redfordrecruiters,Android App Developer,Video Downloaders
3,redfordrecruiters,Android App Developer,Photo Editing
3,redfordrecruiters,Android App Developer,Quiz Apps
3,redfordrecruiters,Android App Developer,File Sharing Apps
3,redfordrecruiters,Android App Developer,Lockers Apps
3,redfordrecruiters,Android App Developer,Utilities Apps
4,Ether.Fi,Android Engineer,Kotlin
4,Ether.Fi,Android Engineer,Android SDK
4,Ether.Fi,Android Engineer,Jetpack
4,Ether.Fi,Android Engineer,Released android apps to google play store
4,Ether.Fi,Android Engineer,security
4,Ether.Fi,Android Engineer,performance
4,Ether.Fi,Android Engineer,networking
4,Ether.Fi,Android Engineer,collaboration
4,Ether.Fi,Android Engineer,user experience
4,Ether.Fi,Android Engineer,Design
4,Ether.Fi,Android Engineer,responsive
4,Ether.Fi,Android Engineer,teamwork
4,Ether.Fi,Android Engineer,Figma designs
4,Ether.Fi,Android Engineer,GraphQL
4,Ether.Fi,Android Engineer,web technologies
4,Ether.Fi,Android Engineer,blockchain technology
4,Ether.Fi,Android Engineer,Unit testing
4,Ether.Fi,Android Engineer,UI testing
4,Ether.Fi,Android Engineer,CI/CD
4,Ether.Fi,Android Engineer,flow
4,Ether.Fi,Android Engineer,software testing
4,Ether.Fi,Android Engineer,communication
4,Ether.Fi,Android Engineer,3+
4,Ether.Fi,Android Engineer,Git
4,Ether.Fi,Android Engineer,automated testing
4,Ether.Fi,Android Engineer,problem-solving
4,Ether.Fi,Android Engineer,work independently
4,Ether.Fi,Android Engineer,integrating back-end services
5,Synechron Technologies,Android Developer,5+
5,Synechron Technologies,Android Developer,Kotlin
5,Synechron Technologies,Android Developer,performance
5,Synechron Technologies,Android Developer,OOP
5,Synechron Technologies,Android Developer,Android SDK
5,Synechron Technologies,Android Developer,design patterns
5,Synechron Technologies,Android Developer,designing clean APIs
5,Synechron Technologies,Android Developer,Crypto
5,Synechron Technologies,Android Developer,Android Architecture
5,Synechron Technologies,Android Developer,lifecycle of Android Apps
5,Synechron Technologies,Android Developer,multi-threading
5,Synechron Technologies,Android Developer,memory management
5,Synechron Technologies,Android Developer,CI/CD
5,Synechron Technologies,Android Developer,troubleshooting
5,Synechron Technologies,Android Developer,MVVM
5,Synechron Technologies,Android Developer,Clear Architecture
5,Synechron Technologies,Android Developer,Functional Programming
5,Synechron Technologies,Android Developer,Firebase
5,Synechron Technologies,Android Developer,best coding
5,Synechron Technologies,Android Developer,security
5,Synechron Technologies,Android Developer,unit testing
5,Synechron Technologies,Android Developer,documentation standards
5,Synechron Technologies,Android Developer,Agile
5,Synechron Technologies,Android Developer,influence multiple teams
5,Synechron Technologies,Android Developer,Self-motivated
5,Synechron Technologies,Android Developer,collaboration
5,Synechron Technologies,Android Developer,Released android apps to google play store
6,Cantaloupe Consulting,Android Developer,OOP
6,Cantaloupe Consulting,Android Developer,JAVA
6,Cantaloupe Consulting,Android Developer,Kotlin
6,Cantaloupe Consulting,Android Developer,5+
6,Cantaloupe Consulting,Android Developer,Third party integration
6,Cantaloupe Consulting,Android Developer,Payment Gateways
6,Cantaloupe Consulting,Android Developer,Analyze
6,Cantaloupe Consulting,Android Developer,design
6,Cantaloupe Consulting,Android Developer,code
6,Cantaloupe Consulting,Android Developer,debugging
6,Cantaloupe Consulting,Android Developer,testing
6,Cantaloupe Consulting,Android Developer,documentation
6,Cantaloupe Consulting,Android Developer,deploy applications
6,Cantaloupe Consulting,Android Developer,Retail Industry
6,Cantaloupe Consulting,Android Developer,Android Sdk
6,Cantaloupe Consulting,Android Developer,Android Studio
6,Cantaloupe Consulting,Android Developer,Architecture Components
6,Cantaloupe Consulting,Android Developer,RxJava
6,Cantaloupe Consulting,Android Developer,Coroutines
6,Cantaloupe Consulting,Android Developer,Dependency Injection
6,Cantaloupe Consulting,Android Developer,Dagger
6,Cantaloupe Consulting,Android Developer,Solid Principles
6,Cantaloupe Consulting,Android Developer,Clean Architecture
6,Cantaloupe Consulting,Android Developer,Clean Code
6,Cantaloupe Consulting,Android Developer,Design Pattern
6,Cantaloupe Consulting,Android Developer,Performance
6,Cantaloupe Consulting,Android Developer,Okhttp
6,Cantaloupe Consulting,Android Developer,Rest Api
7,Neumeric Technologies,Senior Android Developer,mentor junior developers
7,Neumeric Technologies,Senior Android Developer,Design
7,Neumeric Technologies,Senior Android Developer,Development
7,Neumeric Technologies,Senior Android Developer,Architect
7,Neumeric Technologies,Senior Android Developer,Write clean code
7,Neumeric Technologies,Senior Android Developer,maintainability
7,Neumeric Technologies,Senior Android Developer,code best practices
7,Neumeric Technologies,Senior Android Developer,robustness
7,Neumeric Technologies,Senior Android Developer,scalability
7,Neumeric Technologies,Senior Android Developer,MVVM
7,Neumeric Technologies,Senior Android Developer,MVC
7,Neumeric Technologies,Senior Android Developer,MVP
7,Neumeric Technologies,Senior Android Developer,teamwork
7,Neumeric Technologies,Senior Android Developer,collaboration
7,Neumeric Technologies,Senior Android Developer,Documentation
7,Neumeric Technologies,Senior Android Developer,unit testing
7,Neumeric Technologies,Senior Android Developer,debugging
7,Neumeric Technologies,Senior Android Developer,user experience
7,Neumeric Technologies,Senior Android Developer,Performance
7,Neumeric Technologies,Senior Android Developer,JAVA
7,Neumeric Technologies,Senior Android Developer,Kotlin
7,Neumeric Technologies,Senior Android Developer,Android SDK
7,Neumeric Technologies,Senior Android Developer,UI/UX Design
7,Neumeric Technologies,Senior Android Developer,Git
7,Neumeric Technologies,Senior Android Developer,Dependency Injection
7,Neumeric Technologies,Senior Android Developer,Dagger
7,Neumeric Technologies,Senior Android Developer,Hilt
7,Neumeric Technologies,Senior Android Developer,Animations
7,Neumeric Technologies,Senior Android Developer,Multithreading
7,Neumeric Technologies,Senior Android Developer,RxJava
7,Neumeric Technologies,Senior Android Developer,Coroutines
7,Neumeric Technologies,Senior Android Developer,Security
7,Neumeric Technologies,Senior Android Developer,CI/CD
7,Neumeric Technologies,Senior Android Developer,RESTful APIs
7,Neumeric Technologies,Senior Android Developer,JSON
7,Neumeric Technologies,Senior Android Developer,XML
7,Neumeric Technologies,Senior Android Developer,SQLite
7,Neumeric Technologies,Senior Android Developer,Room
7,Neumeric Technologies,Senior Android Developer,Released android apps to google play store
7,Neumeric Technologies,Senior Android Developer,unit testing
7,Neumeric Technologies,Senior Android Developer,UI testing
7,Neumeric Technologies,Senior Android Developer,JUnit
7,Neumeric Technologies,Senior Android Developer,Espresso
7,Neumeric Technologies,Senior Android Developer,Robolectric
7,Neumeric Technologies,Senior Android Developer,Scrum
7,Neumeric Technologies,Senior Android Developer,5+
7,Neumeric Technologies,Senior Android Developer,Agile
7,Neumeric Technologies,Senior Android Developer,problem-solving
7,Neumeric Technologies,Senior Android Developer,analytical
7,Neumeric Technologies,Senior Android Developer,communication
8,Technology Innovation Institute,Lead Android Developer,Cryptography
8,Technology Innovation Institute,Lead Android Developer,security
8,Technology Innovation Institute,Lead Android Developer,performance
8,Technology Innovation Institute,Lead Android Developer,coding standards
8,Technology Innovation Institute,Lead Android Developer,code best practices
8,Technology Innovation Institute,Lead Android Developer,collaboration
8,Technology Innovation Institute,Lead Android Developer,Design
8,Technology Innovation Institute,Lead Android Developer,8+
8,Technology Innovation Institute,Lead Android Developer,C /C++
8,Technology Innovation Institute,Lead Android Developer,Kotlin
8,Technology Innovation Institute,Lead Android Developer,mobile application architecture
8,Technology Innovation Institute,Lead Android Developer,communication
8,Technology Innovation Institute,Lead Android Developer,inspire and motivate team members
9,Asterix,Software Engineer - Android,Unit testing
9,Asterix,Software Engineer - Android,robustness
9,Asterix,Software Engineer - Android,usability
9,Asterix,Software Engineer - Android,reliability
9,Asterix,Software Engineer - Android,bug fixes
9,Asterix,Software Engineer - Android,performance
9,Asterix,Software Engineer - Android,MVVM
9,Asterix,Software Engineer - Android,Kotlin
9,Asterix,Software Engineer - Android,6+
9,Asterix,Software Engineer - Android,dependency injection
9,Asterix,Software Engineer - Android,Android SDK
9,Asterix,Software Engineer - Android,code review
9,Asterix,Software Engineer - Android,Android architecture components
9,Asterix,Software Engineer - Android,Coroutine
9,Asterix,Software Engineer - Android,Flow
9,Asterix,Software Engineer - Android,SQLite
9,Asterix,Software Engineer - Android,Room
9,Asterix,Software Engineer - Android,SOLID
9,Asterix,Software Engineer - Android,XMPP
9,Asterix,Software Engineer - Android,WebRTC
9,Asterix,Software Engineer - Android,Jetpack
9,Asterix,Software Engineer - Android,Fast learner
10,Kaya ,Android App Developer,Google Maps
10,Kaya ,Android App Developer,Driver Location
10,Kaya ,Android App Developer,tracking
10,Kaya ,Android App Developer,Push Notifications
10,Kaya ,Android App Developer,communication
11,Expert Hub Robotic Solutions,Senior Android Developer,5+
11,Expert Hub Robotic Solutions,Senior Android Developer,bug fixes
11,Expert Hub Robotic Solutions,Senior Android Developer,Design User Interface
11,Expert Hub Robotic Solutions,Senior Android Developer,REST-APIs integration
11,Expert Hub Robotic Solutions,Senior Android Developer,XML
11,Expert Hub Robotic Solutions,Senior Android Developer,JSON
11,Expert Hub Robotic Solutions,Senior Android Developer,"Integrating Third Party libraries, APIs and SDKs"
11,Expert Hub Robotic Solutions,Senior Android Developer,navigation
11,Expert Hub Robotic Solutions,Senior Android Developer,SQL SERVER
11,Expert Hub Robotic Solutions,Senior Android Developer,software testing
11,Expert Hub Robotic Solutions,Senior Android Developer,Git
11,Expert Hub Robotic Solutions,Senior Android Developer,teamwork
11,Expert Hub Robotic Solutions,Senior Android Developer,communication
12,Customer.io,Senior Android Engineer,5+
12,Customer.io,Senior Android Engineer,Kotlin
12,Customer.io,Senior Android Engineer,JAVA
12,Customer.io,Senior Android Engineer,Android SDK
12,Customer.io,Senior Android Engineer,Android architecture
12,Customer.io,Senior Android Engineer,design patterns
12,Customer.io,Senior Android Engineer,dependency management
12,Customer.io,Senior Android Engineer,Gradle
12,Customer.io,Senior Android Engineer,Maven
12,Customer.io,Senior Android Engineer,mentoring junior engineers
12,Customer.io,Senior Android Engineer,problem-solving
13,xische e co,Android Developer,unit testing
13,xische e co,Android Developer,UI testing
13,xische e co,Android Developer,Troubleshooting
13,xische e co,Android Developer,debugging
13,xische e co,Android Developer,performance
13,xische e co,Android Developer,Design interfaces
13,xische e co,Android Developer,user experience
13,xische e co,Android Developer,Released android apps to google play store
13,xische e co,Android Developer,"Integrating Third Party libraries, APIs and SDKs"
13,xische e co,Android Developer,analytical
13,xische e co,Android Developer,problem-solving
13,xische e co,Android Developer,teamwork
13,xische e co,Android Developer,Android SDK
13,xische e co,Android Developer,deal with different screen sizes
13,xische e co,Android Developer,UI design
13,xische e co,Android Developer,code best practices
13,xische e co,Android Developer,offline storage
13,xische e co,Android Developer,muti-threading
13,xische e co,Android Developer,performance
13,xische e co,Android Developer,understand business requirements
13,xische e co,Android Developer,cloud message APIs
13,xische e co,Android Developer,push notifications
13,xische e co,Android Developer,Git
13,xische e co,Android Developer,CI/CD
13,xische e co,Android Developer,Kotlin
14,Tangent International,Senior Android Developer,Design principles
14,Tangent International,Senior Android Developer,performance
14,Tangent International,Senior Android Developer,responsiveness
14,Tangent International,Senior Android Developer,collaboration
14,Tangent International,Senior Android Developer,bug fixes
14,Tangent International,Senior Android Developer,7+
14,Tangent International,Senior Android Developer,Kotlin
14,Tangent International,Senior Android Developer,Android Studio
14,Tangent International,Senior Android Developer,Released android apps to google play store
14,Tangent International,Senior Android Developer,offline storage
14,Tangent International,Senior Android Developer,multi-threading
14,Tangent International,Senior Android Developer,RESTful APIs
14,Tangent International,Senior Android Developer,integrating back-end services
14,Tangent International,Senior Android Developer,web technologies
14,Tangent International,Senior Android Developer,UI/UX standards
14,Tangent International,Senior Android Developer,cloud message APIs
14,Tangent International,Senior Android Developer,memory tuning
14,Tangent International,Senior Android Developer,interface guidelines
14,Tangent International,Senior Android Developer,benchmarking
14,Tangent International,Senior Android Developer,optimization
14,Tangent International,Senior Android Developer,Git
14,Tangent International,Senior Android Developer,software testing
15,Masstechme,Android Developer,Develop
15,Masstechme,Android Developer,maintain
15,Masstechme,Android Developer,coding standards
15,Masstechme,Android Developer,code best practices
15,Masstechme,Android Developer,debugging
15,Masstechme,Android Developer,documentaion
15,Masstechme,Android Developer,software testing
15,Masstechme,Android Developer,collaboration
15,Masstechme,Android Developer,Troubleshooting
15,Masstechme,Android Developer,code reviews
15,Masstechme,Android Developer,Work on multiple projects
15,Masstechme,Android Developer,Android SDK
15,Masstechme,Android Developer,Android Studio
15,Masstechme,Android Developer,JAVA
15,Masstechme,Android Developer,Kotlin
15,Masstechme,Android Developer,RESTful APIs
15,Masstechme,Android Developer,SQLite
15,Masstechme,Android Developer,MySQL
15,Masstechme,Android Developer,work independently
15,Masstechme,Android Developer,teamwork
15,Masstechme,Android Developer,communication
15,Masstechme,Android Developer,problem-solving
15,Masstechme,Android Developer,learn new technologies
16,Binance,Senior Android Developer,Design
16,Binance,Senior Android Developer,collaboration
16,Binance,Senior Android Developer,bug fixes
16,Binance,Senior Android Developer,architecture design
16,Binance,Senior Android Developer,jetpack
16,Binance,Senior Android Developer,okhttp
16,Binance,Senior Android Developer,performance
16,Binance,Senior Android Developer,networking
16,Binance,Senior Android Developer,memory usage
16,Binance,Senior Android Developer,Flutter
16,Binance,Senior Android Developer,mobile SDLC
17,Aventus,Android Developer,Design
17,Aventus,Android Developer,Kotlin
17,Aventus,Android Developer,JAVA
17,Aventus,Android Developer,scalable
17,Aventus,Android Developer,teamwork
17,Aventus,Android Developer,integrating back-end services
17,Aventus,Android Developer,Gather requirements
17,Aventus,Android Developer,code reviews
17,Aventus,Android Developer,troubleshoot
17,Aventus,Android Developer,user experiences
17,Aventus,Android Developer,mplement new technologies
17,Aventus,Android Developer,unit testing
17,Aventus,Android Developer,robustness
17,Aventus,Android Developer,usability
17,Aventus,Android Developer,reliability
17,Aventus,Android Developer,agile
17,Aventus,Android Developer,5+
17,Aventus,Android Developer,dependency injection
17,Aventus,Android Developer,design patterns
17,Aventus,Android Developer,mobile development life cycle
17,Aventus,Android Developer,memory management
17,Aventus,Android Developer,file I/O
17,Aventus,Android Developer,network programming
17,Aventus,Android Developer,concurrency
17,Aventus,Android Developer,multithreading
17,Aventus,Android Developer,Scrum
17,Aventus,Android Developer,communication
17,Aventus,Android Developer,Reactive programming
17,Aventus,Android Developer,Rx
17,Aventus,Android Developer,ReactiveCocoa
17,Aventus,Android Developer,ReactiveSwift 
17,Aventus,Android Developer,Navigation
18,Mindpool Tech,Android Developer,Released android apps to google play store
18,Mindpool Tech,Android Developer,Kotlin
18,Mindpool Tech,Android Developer,JAVA
18,Mindpool Tech,Android Developer,Android SDK
18,Mindpool Tech,Android Developer,Android Studio
18,Mindpool Tech,Android Developer,design principles
18,Mindpool Tech,Android Developer,design patterns
18,Mindpool Tech,Android Developer,coding best practices
18,Mindpool Tech,Android Developer,RESTful APIs
18,Mindpool Tech,Android Developer,integration of backend services
18,Mindpool Tech,Android Developer,problem-solving
18,Mindpool Tech,Android Developer,git
19,Private Company,Senior Android Developer,5+
19,Private Company,Senior Android Developer,Requirement Gathering
19,Private Company,Senior Android Developer,Requirement Analysis
19,Private Company,Senior Android Developer,Designing
19,Private Company,Senior Android Developer,creating architecture for Apps
19,Private Company,Senior Android Developer,Wireframes design
19,Private Company,Senior Android Developer,Sketches Design
19,Private Company,Senior Android Developer,communication
19,Private Company,Senior Android Developer,Designing Database schema
19,Private Company,Senior Android Developer,integration of backend services
19,Private Company,Senior Android Developer,Unit testing
19,Private Company,Senior Android Developer,Released android apps to google play store
19,Private Company,Senior Android Developer,Revision management
19,Private Company,Senior Android Developer,SVN
19,Private Company,Senior Android Developer,Bit bucket
19,Private Company,Senior Android Developer,Git
19,Private Company,Senior Android Developer,Android SDK
19,Private Company,Senior Android Developer,JAVA
19,Private Company,Senior Android Developer,Kotlin
19,Private Company,Senior Android Developer,C
19,Private Company,Senior Android Developer,Cordova
19,Private Company,Senior Android Developer,SQL Lite
19,Private Company,Senior Android Developer,JQuery
19,Private Company,Senior Android Developer,JavaScript
19,Private Company,Senior Android Developer,JSON
19,Private Company,Senior Android Developer,XML
19,Private Company,Senior Android Developer,HTML5
19,Private Company,Senior Android Developer,CSS3
19,Private Company,Senior Android Developer,UIKit
19,Private Company,Senior Android Developer,PWA
19,Private Company,Senior Android Developer,Material Design
20,TeachMeCode,Android Developer,iOS
20,TeachMeCode,Android Developer,React Native
20,TeachMeCode,Android Developer,Xamarin
20,TeachMeCode,Android Developer,Cordova
20,TeachMeCode,Android Developer,Ionic
20,TeachMeCode,Android Developer,Flutter
20,TeachMeCode,Android Developer,UI/UX
20,TeachMeCode,Android Developer,Android Studio
20,TeachMeCode,Android Developer,Xcode
20,TeachMeCode,Android Developer,Visual Studio
20,TeachMeCode,Android Developer,Released android apps to google play store
20,TeachMeCode,Android Developer,Design
20,TeachMeCode,Android Developer,scalable
20,TeachMeCode,Android Developer,collaboration
20,TeachMeCode,Android Developer,Debug
20,TeachMeCode,Android Developer,Debug
20,TeachMeCode,Android Developer,code reviews
20,TeachMeCode,Android Developer,coding best practices
20,TeachMeCode,Android Developer,Swift
20,TeachMeCode,Android Developer,Kotlin
20,TeachMeCode,Android Developer,Java
20,TeachMeCode,Android Developer,OOP
20,TeachMeCode,Android Developer,design patterns
20,TeachMeCode,Android Developer,security
20,TeachMeCode,Android Developer,problem-solving
20,TeachMeCode,Android Developer,work independently
20,TeachMeCode,Android Developer,communication
20,TeachMeCode,Android Developer,6+
20,TeachMeCode,Android Developer,agile
20,TeachMeCode,Android Developer,mobile app testing
20,TeachMeCode,Android Developer,adaptability to changing project requirements
20,TeachMeCode,Android Developer,Strong attention to detail
21,Virtusa,Senior Android Developer,Android SDK
21,Virtusa,Senior Android Developer,Kotlin
21,Virtusa,Senior Android Developer,Java
21,Virtusa,Senior Android Developer,5+
21,Virtusa,Senior Android Developer,performance
21,Virtusa,Senior Android Developer,scalable
21,Virtusa,Senior Android Developer,OOP
21,Virtusa,Senior Android Developer,design patterns
21,Virtusa,Senior Android Developer,API design
21,Virtusa,Senior Android Developer,clean code
21,Virtusa,Senior Android Developer,maintainable
21,Virtusa,Senior Android Developer,Android Architecture Components
21,Virtusa,Senior Android Developer,Android SDLC
21,Virtusa,Senior Android Developer,Released android apps to google play store
21,Virtusa,Senior Android Developer,multi-threading
21,Virtusa,Senior Android Developer,memory management
21,Virtusa,Senior Android Developer,caching mechanisms
21,Virtusa,Senior Android Developer,CI/CD
21,Virtusa,Senior Android Developer,troubleshooting
21,Virtusa,Senior Android Developer,MVVM
21,Virtusa,Senior Android Developer,Clear Architecture
21,Virtusa,Senior Android Developer,dependency injection
21,Virtusa,Senior Android Developer,Functional Programming
21,Virtusa,Senior Android Developer,Firebase
21,Virtusa,Senior Android Developer,coding best practices
21,Virtusa,Senior Android Developer,Security
21,Virtusa,Senior Android Developer,Unit testing
21,Virtusa,Senior Android Developer,Documentation standards
21,Virtusa,Senior Android Developer,agile
22,Pegasus,Senior Android Developer,Design
22,Pegasus,Senior Android Developer,collaboration
22,Pegasus,Senior Android Developer,"Integrating Third Party libraries, APIs and SDKs"
22,Pegasus,Senior Android Developer,Unit testing
22,Pegasus,Senior Android Developer,robustness
22,Pegasus,Senior Android Developer,usability
22,Pegasus,Senior Android Developer,reliability
22,Pegasus,Senior Android Developer,bug fixes
22,Pegasus,Senior Android Developer,performance
22,Pegasus,Senior Android Developer,Released android apps to google play store
22,Pegasus,Senior Android Developer,Android SDK
22,Pegasus,Senior Android Developer,REST
22,Pegasus,Senior Android Developer,JSON
22,Pegasus,Senior Android Developer,architectures
22,Pegasus,Senior Android Developer,mobile SDLC
23,Cnfdt,Android Developer,iOS
23,Cnfdt,Android Developer,Kotlin
23,Cnfdt,Android Developer,QR code scanning
23,Cnfdt,Android Developer,Samsung Pay
23,Cnfdt,Android Developer,scalability
23,Cnfdt,Android Developer,performance
23,Cnfdt,Android Developer,unit test
23,Cnfdt,Android Developer,integration test
23,Cnfdt,Android Developer,5+
23,Cnfdt,Android Developer,Coroutines
23,Cnfdt,Android Developer,SQLDelight
23,Cnfdt,Android Developer,Koin/Kodein
23,Cnfdt,Android Developer,Kotlin test
23,Cnfdt,Android Developer,Decompose
23,Cnfdt,Android Developer,Kotlin serialization
23,Cnfdt,Android Developer,Compose
23,Cnfdt,Android Developer,collaboration
23,Cnfdt,Android Developer,agile
23,Cnfdt,Android Developer,communication
23,Cnfdt,Android Developer,cloud-native software architectures
23,Cnfdt,Android Developer,Critical thinking
23,Cnfdt,Android Developer,passion for learning
24,Client of Global IT Search Pvt Ltd,Android Developer,5+
24,Client of Global IT Search Pvt Ltd,Android Developer,Kotlin
24,Client of Global IT Search Pvt Ltd,Android Developer,performance
24,Client of Global IT Search Pvt Ltd,Android Developer,OOP
24,Client of Global IT Search Pvt Ltd,Android Developer,Android SDK
24,Client of Global IT Search Pvt Ltd,Android Developer,design patterns
24,Client of Global IT Search Pvt Ltd,Android Developer,API design
24,Client of Global IT Search Pvt Ltd,Android Developer,designing clean APIs
24,Client of Global IT Search Pvt Ltd,Android Developer,Android Architecture Components
24,Client of Global IT Search Pvt Ltd,Android Developer,Android SDLC
24,Client of Global IT Search Pvt Ltd,Android Developer,Released android apps to google play store
24,Client of Global IT Search Pvt Ltd,Android Developer,multi-threading
24,Client of Global IT Search Pvt Ltd,Android Developer,memory management
24,Client of Global IT Search Pvt Ltd,Android Developer,aching mechanisms
24,Client of Global IT Search Pvt Ltd,Android Developer,CI/CD
24,Client of Global IT Search Pvt Ltd,Android Developer,troubleshooting
24,Client of Global IT Search Pvt Ltd,Android Developer,MVVM
24,Client of Global IT Search Pvt Ltd,Android Developer,Clean Architecture
24,Client of Global IT Search Pvt Ltd,Android Developer,Dependency Injection
24,Client of Global IT Search Pvt Ltd,Android Developer,Functional Programming
24,Client of Global IT Search Pvt Ltd,Android Developer,Firebase
24,Client of Global IT Search Pvt Ltd,Android Developer,coding best practices
24,Client of Global IT Search Pvt Ltd,Android Developer,security
24,Client of Global IT Search Pvt Ltd,Android Developer,unit testing
24,Client of Global IT Search Pvt Ltd,Android Developer,documentation standards
24,Client of Global IT Search Pvt Ltd,Android Developer,agile
24,Client of Global IT Search Pvt Ltd,Android Developer,research technology
24,Client of Global IT Search Pvt Ltd,Android Developer,communication
25,COBERG,Senior Android Mobile Application Developer,RESTful web services
25,COBERG,Senior Android Mobile Application Developer,integrating back-end services
25,COBERG,Senior Android Mobile Application Developer,performance
25,COBERG,Senior Android Mobile Application Developer,Maintinance
25,COBERG,Senior Android Mobile Application Developer,system design
25,COBERG,Senior Android Mobile Application Developer,specification development
25,COBERG,Senior Android Mobile Application Developer,software testing
25,COBERG,Senior Android Mobile Application Developer,debugging
25,COBERG,Senior Android Mobile Application Developer,UI
25,COBERG,Senior Android Mobile Application Developer,Review requirements
25,COBERG,Senior Android Mobile Application Developer,wireframes
25,COBERG,Senior Android Mobile Application Developer,implement user stories
25,COBERG,Senior Android Mobile Application Developer,Mobile solutions to support world-scale events
25,COBERG,Senior Android Mobile Application Developer,communication
25,COBERG,Senior Android Mobile Application Developer,4+
25,COBERG,Senior Android Mobile Application Developer,independent work capabilities
25,COBERG,Senior Android Mobile Application Developer,client-server architecture
25,COBERG,Senior Android Mobile Application Developer,Security
25,COBERG,Senior Android Mobile Application Developer,encryption
25,COBERG,Senior Android Mobile Application Developer,PKI
25,COBERG,Senior Android Mobile Application Developer,Data Structures
25,COBERG,Senior Android Mobile Application Developer,OOP
25,COBERG,Senior Android Mobile Application Developer,design patterns
25,COBERG,Senior Android Mobile Application Developer,Analytics
25,COBERG,Senior Android Mobile Application Developer,RESTful API
25,COBERG,Senior Android Mobile Application Developer,web services
25,COBERG,Senior Android Mobile Application Developer,XML
25,COBERG,Senior Android Mobile Application Developer,JSON
26,ValueLabs,Android Developer,5+
26,ValueLabs,Android Developer,performance
26,ValueLabs,Android Developer,Kotlin
26,ValueLabs,Android Developer,Android SDK
26,ValueLabs,Android Developer,OOP
26,ValueLabs,Android Developer,API design
26,ValueLabs,Android Developer,Android Architecture Components
26,ValueLabs,Android Developer,Anroid SDLC
26,ValueLabs,Android Developer,Released android apps to google play store
26,ValueLabs,Android Developer,multi-threading
26,ValueLabs,Android Developer,memory management
26,ValueLabs,Android Developer,CI/CD
26,ValueLabs,Android Developer,troubleshooting
26,ValueLabs,Android Developer,MVVM
26,ValueLabs,Android Developer,Clear Architecture
